Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
agg,2010,H,3.8,NA,NA,NA,NA,NA,80.3,101.93,0.78947
agg,2010,H,3.53333,0.6607,2.22656,NA,NA,NA,149.83,167.83,0.89474
hyb,2010,H,3.86667,NA,1.36719,NA,NA,NA,57.47,70.74,0.82143
hyb,2010,A,3.8,0.75574,1.5625,NA,NA,NA,54.76,62.87,0.87097
hyb,2010,A,3.13333,0.53122,1.91406,NA,NA,NA,83.1,110.26,0.76271
hyb,2010,H,2.56667,NA,1.01563,NA,NA,NA,172.62,221.46,0.78125
agg,2011,H,3.1,0.60492,1.67969,NA,NA,0,36.23,42.26,0.82353
agg,2011,H,3.54,0.31384,1.52344,NA,NA,0,481.4,573.03,0.83654
agg,2011,H,3.425,0.54236,2.10938,NA,NA,0,347.92,416.42,0.83333
agg,2011,H,3.725,0.56306,0.15625,NA,NA,0,135.65,182.37,0.64286
agg,2011,H,3.725,0.56306,0.15625,NA,NA,7.0675,135.65,182.37,0.64286
agg,2011,H,3.62,0.25781,1.13281,NA,NA,15.2689,491.25,557.07,0.875
agg,2011,H,3.66,0.36991,2.57813,NA,NA,0.7071,230.15,305.5,0.73077
agg,2011,H,3.7,0.57091,2.42188,NA,NA,0,52.78,105.56,0.5
agg,2011,H,3.34,0.36073,2.34375,NA,NA,0,172.29,216.75,0.79487
agg,2011,H,3.65,0.37723,NA,NA,NA,0,184.8,211.98,0.87179
agg,2011,H,3.48,0.699,2.8125,NA,NA,0,171.92,266.93,0.62222
agg,2011,H,3.6,0.3407,1.09375,NA,NA,8.4556,561.72,639.7,0.87838
agg,2011,T,3.2,0.28563,0.57292,NA,NA,13.9845,465.39,555.34,0.83333
agg,2011,H,3.84,0.34116,0.46875,NA,NA,0.8899,223.67,308.68,0.72881
agg,2011,H,3.84286,0.3299,1.13281,NA,NA,2.42,1074.57,1255.74,0.85375
agg,2011,H,3.26,0.4472,1.44531,NA,NA,0,157.77,170.67,0.91667
agg,2011,H,3.48,0.65771,1.17188,NA,NA,6.0093,78.75,96.44,0.79167
agg,2011,A,3.275,0.42521,2.53906,NA,NA,0,126.74,151.49,0.82222
agg,2011,H,3.2,0.36573,1.48438,NA,NA,5.7226,318.77,362,0.86765
agg,2011,H,3.24,0.81459,2.53906,NA,NA,NA,157.88,197.35,0.8
agg,2011,H,3.26,0.84216,1.52344,NA,NA,0,135.96,236.14,0.57576
agg,2011,A,3.34,0.73443,2.53906,NA,NA,NA,200.04,235.57,0.84058
agg,2011,H,3.18,0.07709,0.07813,NA,NA,19.444,158.03,158.38,0.97727
agg,2011,H,3.4,0.36329,0.85938,NA,NA,7.618,30.93,51.35,0.58696
agg,2011,A,3.35,0.75598,1.36719,NA,NA,0,0,0,NA
agg,2011,H,3.56,0.4994,1.01563,NA,NA,0,20.84,39.08,0.53333
agg,2011,A,3.66,0.69013,1.28906,NA,NA,0,56.25,82.59,0.66667
agg,2011,H,3.6,0.39698,NA,NA,NA,0,69.96,113.01,0.61905
hyb,2011,H,3.12,0.52978,0.26042,NA,NA,0,73.61,158.79,0.46296
hyb,2011,H,3.25,0.67942,0.70313,NA,NA,0,155.75,330.2,0.47107
hyb,2011,H,3.05,0.47808,1.09375,NA,NA,5.6259,374.1,400.52,0.92857
hyb,2011,T,2.975,0.25283,0.15625,NA,NA,0,266.82,304.94,0.875
hyb,2011,H,3.125,0.57049,1.01563,NA,NA,0,53.17,55,0.8
hyb,2011,H,3.4,0.69724,0.18229,NA,NA,0,122.02,172.85,0.68966
hyb,2011,A,3.56,0.74352,1.79688,NA,NA,0,270.04,473.18,0.56452
agg,2012,A,3.4,0.67033,3.32031,1.1,63.045,0,2.45,6.43,NA
agg,2012,H,3.1,0.52417,NA,NA,NA,NA,NA,0,NA
agg,2012,H,3.38,0.57578,1.75781,1.4,102.754,0,16.67,20.62,0.8125
agg,2012,H,3.7,0.37454,0,NA,NA,NA,6.67,13.64,0.5
agg,2012,H,3.52,0.48102,0.85938,1.4,91.769,0,NA,NA,0
agg,2012,H,3,0.35116,0,NA,NA,NA,14.63,14.18,1
agg,2012,H,3.85,0.58029,NA,1.8,86.567,0,52.57,59.97,0.84615
agg,2012,H,3.7,0.48712,2.92969,1,55.659,0,NA,0,NA
agg,2012,H,3.4,0.38385,1.875,NA,NA,NA,13.33,13.33,1
agg,2012,H,3,0.40256,NA,NA,NA,NA,12.57,12.05,1
agg,2012,H,3.62,0.54179,1.60156,1.5,149.662,0,4.9,9.02,0.5
agg,2012,H,3.48,0.47601,0.85938,1.475,89.261,2.6602,37.39,85.25,0.44
agg,2012,H,3.34,0.44554,0.39063,1.275,45.585,0,25.98,25.78,1
agg,2012,H,2.96,0.57617,1.52344,1.5,63.105,0.0323,2.57,4.97,0.5
agg,2012,H,3.63333,0.74942,2.03125,1.3,61.351,0,70.29,93.41,0.71429
agg,2012,H,3.08,0.50027,2.92969,0.95,95.207,0,5.29,5.29,1
agg,2012,H,3.02,0.33808,1.25,1.75,93.607,0,7.08,9.4,0.75
agg,2012,H,3.42,0.58917,3.24219,1.45,53.643,0,36.58,69.57,0.52381
agg,2012,H,NA,NA,NA,NA,NA,NA,NA,0,NA
hyb,2012,A,3.53333,0.83369,1.79688,1.3,NA,NA,45.71,51.26,0.875
hyb,2012,H,3.35,0.56866,NA,NA,NA,NA,22.99,24.43,0.93333
hyb,2012,A,3.9,0.94347,NA,NA,NA,NA,9.23,8.84,1
hyb,2012,H,3.36,0.81305,1.01563,1.74,101.279,0,113.14,120.5,0.9375
hyb,2012,H,2.3,0.34463,NA,NA,NA,NA,2.06,3.09,NA
hyb,2012,A,3.4,0.75605,2.96875,1.44,42.097,0,35.16,40.58,0.84615
hyb,2012,T,2.96,0.33464,1.25,0.975,47.326,0,38.52,38.21,1
hyb,2012,H,3.125,0.63961,NA,1.56667,25.403,0,48,46.59,1
hyb,2012,H,2.8,0.38887,NA,NA,NA,NA,37.95,41.25,0.9
hyb,2012,H,2.8,0.69658,2.46094,1.66667,NA,NA,142.63,153.6,0.91837
hyb,2012,H,2.9,0.01073,0.54688,NA,NA,NA,3.2,3.54,NA
hyb,2012,A,2.46667,0.54743,NA,1.33333,NA,0,9.38,11.52,0.8
hyb,2012,H,3.26,0.73041,1.67969,1.33333,33.686,0,23.78,23.5,1
hyb,2012,H,2.5,0.80987,NA,1.4,NA,NA,23.81,23.69,1
ten,2012,H,3.36667,0.40427,2.61719,NA,NA,NA,112.36,121.4,0.91176
ten,2012,A,3.675,0.73426,1.99219,1.5,NA,NA,63.71,79.08,0.81481
ten,2012,H,3.5,0.5553,0.58594,1.38,NA,NA,202.45,325.13,0.625
ten,2012,H,3.16667,0.40532,1.40625,NA,NA,NA,6,5.5,1
agg,2013,H,2.94,0.36568,1.3,NA,NA,1.7559,3.33,3,1
agg,2013,H,3.5,0.56119,2.1,NA,33.825,0,61.05,86.11,0.69565
agg,2013,A,3.16,0.48357,1.48,NA,40.804,0,45.38,53.3,0.81818
agg,2013,H,3.43333,0.48686,4.65,NA,86.762,0,51.96,97.42,0.53333
agg,2013,H,3.7,0.34116,0,NA,115.586,0,23,26.29,0.875
agg,2013,H,3.275,0.49698,1,NA,NA,NA,4.36,4.15,1
agg,2013,H,2.78,0.66377,1,NA,NA,NA,33.6,33.6,1
agg,2013,A,3,0.57439,0.7,NA,NA,NA,14.8,14.8,1
agg,2013,A,3.64,0.58638,2.2,NA,NA,NA,50.93,55.36,0.8
agg,2013,A,3.42,0.53285,2.3,NA,NA,NA,58.23,68.25,0.84615
agg,2013,A,3.8,0.47861,2.4,NA,NA,NA,86.06,103.27,0.83333
agg,2013,A,3.68,0.61664,0.9,NA,NA,NA,96.12,91.54,0.88235
agg,2013,A,3.76,0.65433,3.28,NA,NA,NA,0,0,NA
agg,2013,A,3.48,0.60776,2.5,NA,NA,NA,37.19,49.5,0.77778
agg,2013,A,3.38,0.65048,2.73,NA,NA,NA,88.91,109.73,0.81818
hyb,2013,H,3.6,0.68248,0.8,NA,NA,NA,48.21,46.25,1
hyb,2013,A,2.48,0.56621,1.9,NA,47.997,0,52.73,60.06,0.86486
hyb,2013,A,3.14286,0.74224,2,NA,181.217,0,127.19,126.96,0.98592
