Plant_ID,Block,Source,Treatment,date_sampling,days_setup,nectar_vl,nectar_conc,fl_width,fl_lenght,mean_size,diameter,buds,flowers,buds_2,flowers_2,init_fruits,init_fruits_2,mature_fruits,mature_fruits_2,tot_fruits,tot_fruits2,fruit_tot,mean_seeds,seedset
BN1,1,BN,C,2021-08-13,1,2.58984375,42.35,44.215,46.435,45.31140612,4.69,0,1,0,0,45,38,87,90,132,128,130,5.3,678.4
BN10,4,BN,C,2021-09-01,20,2.29140625,39.65,35.605,45.795,40.37983377,4.84,0,0,0,0,32,20,93,93,125,113,119,5.5,621.5
BN12,1,BN,C,2021-08-14,2,1.0921875,38.4,36.32,38.285,37.28955886,5.16,0,0,0,0,106,76,20,34,126,110,118,4.6,506
BN13,1,BN,C,2021-08-13,1,2.30703125,36.75,41.25,43.51,42.36493243,5.22,0,0,0,0,27,16,79,79,106,95,100.5,4.9,465.5
BN17,4,BN,C,2021-09-02,21,2.528125,41.65,57.875,53.64,55.71727739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA
BN19,1,BN,C,2021-08-13,1,1.37421875,40.9,37.95,40.305,39.10977819,4.83,2,5,0,1,68,52,13,25,81,77,79,4.8,369.6
BN20,1,BN,C,2021-09-15,34,0.68203125,38.15,51.435,49.495,50.45567684,5.72,0,0,0,0,43,22,63,79,106,101,103.5,5.1,515.1
BN21,1,BN,C,2021-08-13,1,2.97734375,41.3,53.915,57.61,55.7318863,5.91,3,2,0,0,58,36,59,54,117,90,103.5,5,450
BN22,7,BN,C,2021-08-28,16,2.03203125,38.1,34.31,40.325,37.19611203,5.59,2,2,0,0,37,28,63,67,100,95,97.5,3.6,342
BN24,1,BN,C,2021-08-13,1,1.840625,36.65,36.435,53.875,44.30502934,5.11,0,0,0,0,28,31,61,67,89,98,93.5,4.7,460.6
BN25,1,BN,C,2021-08-13,1,2.29609375,37,51.32,55.25,53.24875585,4.56,1,0,0,0,23,15,56,62,79,77,78,4.9,377.3
